,popularity,id,video,vote_count,vote_average,title,release_date,original_language,original_title,genre_ids,backdrop_path,adult,overview,poster_path
0,332.89,475557,False,15437,8.2,Joker,2019-10-02,en,Joker,"[80, 53, 18]",/n6bUvigpRFqSwmPp1m2YADdbRBc.jpg,False,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg
1,327.654,592350,False,467,8.5,My Hero Academia: Heroes Rising,2019-12-20,ja,僕のヒーローアカデミア THE MOVIE ヒーローズ：ライジング,"[16, 28]",/9guoVF7zayiiUq5ulKQpt375VIy.jpg,False,"Class 1-A visits Nabu Island where they finally get to do some real hero work. The place is so peaceful that it's more like a vacation … until they're attacked by a villain with an unfathomable Quirk! His power is eerily familiar, and it looks like Shigaraki had a hand in the plan. But with All Might retired and citizens' lives on the line, there's no time for questions. Deku and his friends are the next generation of heroes, and they're the island's only hope.",/zGVbrulkupqpbwgiNedkJPyQum4.jpg
2,295.1,330457,False,6374,7.3,Frozen II,2019-11-20,en,Frozen II,"[16, 10751, 12, 35, 14]",/xJWPZIYOEFIjZpBL7SVBGnzRYXp.jpg,False,"Elsa, Anna, Kristoff and Olaf head far into the forest to learn the truth about an ancient mystery of their kingdom.",/qXsndsv3WOoxszmdlvTWeY688eK.jpg
3,257.069,512200,False,4951,7.0,Jumanji: The Next Level,2019-12-04,en,Jumanji: The Next Level,"[12, 35, 14]",/zTxHf9iIOCqRbxvl8W5QYKrsMLq.jpg,False,"As the gang return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored in order to escape the world’s most dangerous game.",/jyw8VKYEiM1UDzPB7NsisUgBeJ8.jpg
4,247.237,474350,False,5187,6.9,It Chapter Two,2019-09-04,en,It Chapter Two,"[27, 14]",/8moTOzunF7p40oR5XhlDvJckOSW.jpg,False,"27 years after overcoming the malevolent supernatural entity Pennywise, the former members of the Losers' Club, who have grown up and moved away from Derry, are brought back together by a devastating phone call.",/zfE0R94v1E8cuKAerbskfD3VfUt.jpg
5,233.276,384018,False,4305,6.9,Fast & Furious Presents: Hobbs & Shaw,2019-08-01,en,Fast & Furious Presents: Hobbs & Shaw,"[28, 12, 35]",/qAhedRxRYWZAgZ8O8pHIl6QHdD7.jpg,False,"Ever since US Diplomatic Security Service Agent Hobbs and lawless outcast Shaw first faced off, they just have swapped smacks and bad words. But when cyber-genetically enhanced anarchist Brixton's ruthless actions threaten the future of humanity, both join forces to defeat him. (A spin-off of “The Fate of the Furious,” focusing on Johnson's Luke Hobbs and Statham's Deckard Shaw.)",/qRyy2UmjC5ur9bDi3kpNNRCc5nc.jpg
6,206.369,530915,False,6880,7.9,1917,2019-12-25,en,1917,"[10752, 18]",/cqa3sa4c4jevgnEJwq3CMF8UfTG.jpg,False,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",/iZf0KyrE25z1sage4SYFLCCrMi9.jpg
7,204.186,581387,False,129,6.8,Ashfall,2019-12-19,ko,백두산,"[28, 12, 53]",/1mJfuaU32FrMRMHy6Y6lcfx5OTO.jpg,False,"Stagnant since 1903, at an elevation of 9000', a volcano erupts on the mythical and majestic Baekdu Mountain.",/zoeKREZ2IdAUnXISYCS0E6H5BVh.jpg
8,203.068,532067,False,178,8.5,KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,2019-08-30,ja,この素晴らしい世界に祝福を！紅伝説,"[12, 35, 16, 14]",/m5HPKCi7GdhKmxPTcOQmcLfEmZ9.jpg,False,"It is not strange that the Demon Lord's forces fear the Crimson Demons, the clan from which Megumin and Yunyun originate. Even if the Demon Lord's generals attack their village, the Crimson Demons can just easily brush them off with their supreme mastery of advanced and overpowered magic.  When Yunyun receives a seemingly serious letter regarding a potential disaster coming to her hometown, she immediately informs Kazuma Satou and the rest of his party. After a series of wacky misunderstandings, it turns out to be a mere prank by her fellow demon who wants to be an author. Even so, Megumin becomes worried about her family and sets out toward the Crimson Demons' village with the gang.  There, Kazuma and the others decide to sightsee the wonders of Megumin's birthplace. However, they soon come to realize that the nonsense threat they received might have been more than just a joke.",/j73LuQcA21KvkVFcroWWMN8tTJv.jpg
9,202.655,640882,False,97,5.7,3022,2019-11-22,en,3022,[878],/3xe3RUDpdrD9XCzgdlpUFgwIX0z.jpg,False,A group of astronauts living in the haunting emptiness of deep space awakens to find earth has suffered an extinction-level event.,/dp1brl24LXGFU3JPFaDoljDONRz.jpg
