,popularity,vote_count,video,poster_path,id,adult,backdrop_path,original_language,original_title,genre_ids,title,vote_average,overview,release_date
0,2300.002,62,False,/h8Rb9gBr48ODIwYUttZNYeMWeUU.jpg,635302,False,/xoqr4dMbRJnzuhsWDF3XNHQwJ9x.jpg,ja,劇場版「鬼滅の刃」無限列車編,"[16, 28, 36, 12, 14, 18]",Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,6.4,"Tanjirō Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyōjurō Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",2020-10-16
1,2007.928,590,False,/betExZlgK0l7CZ9CsCBVcwO1OjL.jpg,531219,False,/8rIoyM6zYXJNjzGseT3MRusMPWl.jpg,en,Roald Dahl's The Witches,"[14, 10751, 12, 35, 27]",Roald Dahl's The Witches,7.1,"In late 1967, a young orphaned boy goes to live with his loving grandma in the rural Alabama town of Demopolis. As the boy and his grandmother encounter some deceptively glamorous but thoroughly diabolical witches, she wisely whisks him away to a seaside resort. Regrettably, they arrive at precisely the same time that the world's Grand High Witch has gathered.",2020-10-26
2,1924.26,111,False,/ugZW8ocsrfgI95pnQ7wrmKDxIe.jpg,724989,False,/86L8wqGMDbwURPni2t7FQ0nDjsH.jpg,en,Hard Kill,"[28, 53]",Hard Kill,4.9,"The work of billionaire tech CEO Donovan Chalmers is so valuable that he hires mercenaries to protect it, and a terrorist group kidnaps his daughter just to get it.",2020-10-23
3,1492.236,288,False,/7D430eqZj8y3oVkLFfsWXGRcpEG.jpg,528085,False,/5UkzNSOK561c2QRy2Zr4AkADzLT.jpg,en,2067,"[878, 53, 18]",2067,4.9,"A lowly utility worker is called to the future by a mysterious radio signal, he must leave his dying wife to embark on a journey that will force him to face his deepest fears in an attempt to change the fabric of reality and save humankind from its greatest environmental crisis yet.",2020-10-01
4,1202.013,123,False,/hddzYJtfYYeMDOQVcH58n8m1W3A.jpg,741074,False,/DA7gzvlBoxMNL0XmGgTZOyv67P.jpg,en,Once Upon a Snowman,"[16, 10751, 35, 14]",Once Upon a Snowman,7.3,"The previously untold origins of Olaf, the innocent and insightful, summer-loving snowman are revealed as we follow Olaf’s first steps as he comes to life and searches for his identity in the snowy mountains outside Arendelle.",2020-10-23
5,1114.882,1046,False,/jlJ8nDhMhCYJuzOw3f52CP1W8MW.jpg,400160,False,/wu1uilmhM4TdluKi2ytfz8gidHf.jpg,en,The SpongeBob Movie: Sponge on the Run,"[14, 16, 12, 35, 10751]",The SpongeBob Movie: Sponge on the Run,8.3,"When his best friend Gary is suddenly snatched away, SpongeBob takes Patrick on a madcap mission far beyond Bikini Bottom to save their pink-shelled pal.",2020-08-14
6,1004.386,152,False,/elZ6JCzSEvFOq4gNjNeZsnRFsvj.jpg,741067,False,/aO5ILS7qnqtFIprbJ40zla0jhpu.jpg,en,Welcome to Sudden Death,"[28, 53, 12, 18]",Welcome to Sudden Death,6.3,"Jesse Freeman is a former special forces officer and explosives expert now working a regular job as a security guard in a state-of-the-art basketball arena. Trouble erupts when a tech-savvy cadre of terrorists kidnap the team's owner and Jesse's daughter during opening night. Facing a ticking clock and impossible odds, it's up to Jesse to not only save them but also a full house of fans in this highly charged action thriller.",2020-09-29
7,928.622,341,False,/lQfdytwN7eh0tXWjIiMceFdBBvD.jpg,560050,False,/htBUhLSS7FfHtydgYxUWjL3J1Q1.jpg,en,Over the Moon,"[16, 12, 10751, 14]",Over the Moon,7.7,A girl builds a rocket to travel to the moon in hopes of meeting the legendary Moon Goddess.,2020-10-16
8,898.868,2501,False,/riYInlsq2kf1AWoGm80JQW5dLKp.jpg,497582,False,/kMe4TKMDNXTKptQPAdOF0oZHq3V.jpg,en,Enola Holmes,"[80, 18, 9648]",Enola Holmes,7.5,"While searching for her missing mother, intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord.",2020-09-23
9,827.606,135,False,/9HT9982bzgN5on1sLRmc1GMn6ZC.jpg,671039,False,/gnf4Cb2rms69QbCnGFJyqwBWsxv.jpg,fr,Bronx,"[53, 28, 18, 80]",Rogue City,6.4,"Caught in the crosshairs of police corruption and Marseille’s warring gangs, a loyal cop must protect his squad by taking matters into his own hands.",2020-10-30
10,806.945,789,False,/6agKYU5IQFpuDyUYPu39w7UCRrJ.jpg,740985,False,/hbrXbVoE0NuA1ORoSGGYNASagrl.jpg,en,Borat Subsequent Moviefilm,[35],Borat Subsequent Moviefilm,6.7,"14 years after making a film about his journey across the USA, Borat risks life and limb when he returns to the United States with his young daughter, and reveals more about the culture, the COVID-19 pandemic, and the political elections.",2020-10-23
11,800.753,732,False,/sy6DvAu72kjoseZEjocnm2ZZ09i.jpg,581392,False,/2nFzxaAK7JIsk6l7qZ8rFBsa3yW.jpg,ko,반도,"[28, 27, 53]",Peninsula,7.0,A soldier and his team battle hordes of post-apocalyptic zombies in the wastelands of the Korean Peninsula.,2020-07-15
12,752.021,2807,False,/aKx1ARwG55zZ0GpRvU2WrGrCG9o.jpg,337401,False,/zzWGRw277MNoCs3zhyG3YmYQsXv.jpg,en,Mulan,"[28, 12, 18, 14]",Mulan,7.2,"When the Emperor of China issues a decree that one man per family must serve in the Imperial Chinese Army to defend the country from Huns, Hua Mulan, the eldest daughter of an honored warrior, steps in to take the place of her ailing father. She is spirited, determined and quick on her feet. Disguised as a man by the name of Hua Jun, she is tested every step of the way and must harness her innermost strength and embrace her true potential.",2020-09-04
