budget,genres,id,imdb_id,original_language,original_title,popularity,release_date,revenue,runtime,title,vote_average,vote_count
0.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",531219.0,tt0805647,en,Roald Dahl's The Witches,2007.9279999999999,2020-10-26,0.0,106.0,Roald Dahl's The Witches,7.0,592.0
0.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",724989.0,tt11656172,en,Hard Kill,2303.555,2020-10-23,0.0,98.0,Hard Kill,4.9,111.0
0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 36, 'name': 'History'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}]",635302.0,tt11032374,ja,劇場版「鬼滅の刃」無限列車編,2300.002,2020-10-16,200000000.0,117.0,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,6.4,62.0
0.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",528085.0,tt1918734,en,2067,1492.236,2020-10-01,0.0,114.0,2067,4.9,289.0
0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",741074.0,tt13061790,en,Once Upon a Snowman,1414.57,2020-10-23,0.0,12.0,Once Upon a Snowman,7.3,121.0
0.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",741067.0,tt10804786,en,Welcome to Sudden Death,1168.976,2020-09-29,0.0,80.0,Welcome to Sudden Death,6.3,152.0
0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",560050.0,tt7488208,en,Over the Moon,1163.879,2020-10-16,0.0,100.0,Over the Moon,7.7,340.0
21000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",497582.0,tt7846844,en,Enola Holmes,898.868,2020-09-23,0.0,123.0,Enola Holmes,7.5,2501.0
0.0,"[{'id': 35, 'name': 'Comedy'}]",740985.0,tt13143964,en,Borat Subsequent Moviefilm,806.945,2020-10-23,0.0,96.0,Borat Subsequent Moviefilm,6.7,789.0
17000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",581392.0,tt8850222,ko,반도,800.753,2020-07-15,35878266.0,114.0,Peninsula,7.0,732.0
200000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",337401.0,tt4566758,en,Mulan,752.0210000000001,2020-09-04,57000000.0,115.0,Mulan,7.2,2809.0
0.0,"[{'id': 28, 'name': 'Action'}]",694919.0,tt7286966,en,Money Plane,745.191,2020-09-29,0.0,82.0,Money Plane,5.9,175.0
0.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",539885.0,tt8784956,en,Ava,811.5160000000001,2020-07-02,2987741.0,96.0,Ava,5.7,594.0
60000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",400160.0,tt4823776,en,The SpongeBob Movie: Sponge on the Run,1114.882,2020-08-14,4700000.0,95.0,The SpongeBob Movie: Sponge on the Run,8.3,1055.0
0.0,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",677638.0,tt10474606,en,We Bare Bears: The Movie,647.055,2020-06-30,0.0,69.0,We Bare Bears: The Movie,7.7,485.0
0.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}]",601844.0,tt10314450,en,Becky,718.9830000000001,2020-07-23,0.0,93.0,Becky,6.2,98.0
0.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}]",624963.0,tt4844150,en,A Babysitter's Guide to Monster Hunting,499.939,2020-10-14,0.0,94.0,A Babysitter's Guide to Monster Hunting,6.2,98.0
0.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",718444.0,tt11576124,en,Rogue,532.808,2020-08-20,139757.0,106.0,Rogue,5.8,344.0
1200000.0,"[{'id': 28, 'name': 'Action'}]",697064.0,tt10989808,en,Beckman,615.982,2020-09-10,0.0,90.0,Beckman,5.7,24.0
