,imdb_id,budget,revenue
0,tt4834220,3800000,847307
1,tt4677924,5000000,43682
2,tt5833186,18000000,12944
3,tt3838034,6000000,2385151
4,tt6157626,25000000,97051623
5,tt6148156,150000000,546792
6,tt5993456,4000000,1021120
7,tt6445396,7800000,3202694
8,tt5964278,10000000,6466643
9,tt2024521,10000000,435
10,tt5003186,2500000,1253363
11,tt5653514,250000,1510
12,tt6293516,8500000,899782
13,tt7133352,1500000,308974
14,tt6628228,50000000,7939761
15,tt1699518,9500000,4870373
16,tt6015706,110000000,1637776
17,tt5343532,1000000,25464
18,tt7219324,3200000,5720804
19,tt4180286,3000000,168738
20,tt4660172,5000000,16544
21,tt5193790,25000000,639967
22,tt4031126,250000,9110
23,tt5143890,5000000,3259
24,tt1680140,4000000,27741
25,tt7204006,2500000,1668753
26,tt5319866,1000000,1687000
27,tt5991410,4000000,7855570
28,tt5004766,1000000,52366
29,tt4036488,66000,47965
30,tt6155084,6000000,1219858
31,tt4515762,3000000,7285
32,tt4134826,250000,285169
33,tt2331100,800000,1606705
34,tt5989394,8000000,821380
35,tt5598160,1000000,423747
36,tt4064912,400000,333388
37,tt6055082,500000,1483677
38,tt6059142,0,19103
39,tt6471684,4600000,6382550
40,tt7223050,100000000,10226168
41,tt5972780,6000000,1746269
42,tt6980792,230000,2672
43,tt6462506,100000,166022
44,tt6125690,2000000,186200
45,tt6901252,6000000,309477
46,tt3853830,1250000,62398
47,tt6907804,3000000,15735317
48,tt5613834,600000000,3438746
49,tt6878378,120,1151913
50,tt5642124,2,383872
51,tt7677228,3000000,232931
52,tt5649480,600000000,374860
53,tt5709852,450000,16172
54,tt5066598,2500000,1380531
55,tt6149936,17000000,242997
56,tt6522546,1200000000,467720
57,tt5313922,1000000,224347
58,tt7180392,70000000,9796094
59,tt6908536,32000000,48065601
60,tt4460624,750000,37
61,tt7249854,400000000,51805
62,tt6389344,4000000,13816357
63,tt5882970,1550000000,4650456
64,tt6741568,6302900,1195004
65,tt7787418,18500000,46154323
66,tt6265988,220000000,339925
67,tt4791984,500000,455
68,tt4066836,400000,2537
69,tt6511676,3000000,218702
70,tt7146054,1500000,13006233
71,tt7286562,5550000,13125
72,tt6903084,12000000,5057715
73,tt7190460,50000000,94491
74,tt5225382,1000000,239735
75,tt4372736,1200000,90878
76,tt5765144,1300000,21349
77,tt4467194,7500000,301087
78,tt5867796,2300000,125220
79,tt3638960,2000000,102701
80,tt5778384,750000,184935
81,tt6613470,5000000,8849
82,tt2463842,650000,2044
83,tt1560987,1000000,110289
84,tt6185674,150000000,75705
85,tt6400316,2000000,59530
86,tt5862296,2000000,25461
87,tt6823698,34280000,6143216
88,tt4393036,19000,3982
89,tt6487050,500000,725286
90,tt6861726,500000000,196046
91,tt6134000,1310000,2142072
92,tt1105355,2000000,35312
93,tt5450328,150000,54681
94,tt5540194,5000000,14699
95,tt5636668,22000000,43892362
96,tt6058136,3000000,493374
97,tt5658296,30000000000,41922
98,tt7454138,27000000,836791
99,tt5822148,1165000,654019
100,tt6964554,2000000,409913
101,tt3531176,500000,212471
102,tt6616800,100000000,538997
103,tt6816070,400000000,22345
104,tt5858968,400000,5731
105,tt4823592,500000,87492
106,tt6598514,1000000,38398
107,tt5836246,0,2281031
108,tt6559642,700000,273291
109,tt5495726,28000000,337553
110,tt3122282,800000,5688
111,tt5057904,7000000,242189
112,tt6417014,385000,298075
113,tt6063014,150000,35841
114,tt6265536,120000000,139595
115,tt6010240,180000000,17750
116,tt5732530,3000000,244806
117,tt7093470,215000,265893
118,tt6445394,9000000,90850
119,tt8550264,3000000,5894
120,tt4952054,500000,18892
121,tt6566400,85850,62734
122,tt5723028,16000000,58154
123,tt6136430,150000,14518
124,tt5570086,500000,7657
125,tt2371365,5,34048
126,tt5323760,828000,12685
127,tt5156274,600000,211728
128,tt6141656,540000000,385831
129,tt5329852,500000,849857
130,tt4371680,600000,5510
131,tt6467968,650000,196700
132,tt4473378,350000,33370
133,tt6138680,150000000,31172
134,tt5934402,60000,46072
135,tt5690244,240000,14331
136,tt3564122,1200000,6112
137,tt7249874,500000000,27221
138,tt6054058,600000000,28995
139,tt5543600,1798000,3528478
140,tt4614304,75000,17071
141,tt6286796,3900000,1008
142,tt6195904,1500000,1869
143,tt5578538,911000,19970
144,tt4585080,850000,138028
145,tt6413712,325000,67172
146,tt6392102,780000,669640
147,tt6155922,500000,199509
148,tt6359554,200000000,42421
149,tt6601954,2000000,724258
150,tt6079186,5300000,16751
151,tt6774092,150000000,503784
152,tt5742874,550000000,358928
153,tt7623230,100000,538208
154,tt6793180,2000000,301933
155,tt5370442,120000000,24349
156,tt6194850,350000,1142638
157,tt7286908,100000000,35046130
158,tt7495440,453353,122413
159,tt6870750,1500000,162192
160,tt6788720,20000000,721293
161,tt7102426,3000000,23392
162,tt5708028,25185569,4224
163,tt6215964,100000,12008
164,tt6842524,300000,163386
165,tt6602928,1300000,1633936
166,tt6242752,100000,2016
167,tt5843990,76000,4373
168,tt7321504,150000,536
169,tt8077180,1,16565
170,tt8002146,500000,198349
171,tt4560748,350000,17517
172,tt3945864,3000000,193040
173,tt5334076,300000,21527
174,tt6693070,300000,35709
175,tt6800942,20000000,168552
176,tt5756126,3350600,134067
177,tt6489160,170000000,1986855
178,tt2258351,5000000,7631
179,tt6044548,2000000,16164
180,tt5870084,1600000,3410
181,tt6584902,600000,63718
182,tt3699104,60000000,2321975
183,tt6183334,500000,49822
184,tt7277680,100000000,10588
185,tt6002522,3000000,180706
186,tt8149090,60000000,2683
187,tt6228102,5500000,60247
188,tt3407614,80000000,65796
189,tt7791218,300000,1637947
190,tt3844638,1,270790
191,tt6548388,6000000,149725
192,tt5050876,0,14430
193,tt5641832,440000000,13453
194,tt3429340,4500000,1404
195,tt5762180,250000000,499
196,tt6865478,900000,145524
197,tt5671990,980927,16874
198,tt6609088,3400000,1033043
199,tt5756052,200000000,52982
200,tt7232860,100000000,45698503
201,tt6342396,6500000,7957
202,tt6644636,120000000,9451
203,tt5105296,192000,58155
204,tt7190418,1200000,40900
205,tt7295884,10000000,11471
206,tt6941878,300000,8927
207,tt7221896,10000,1415773
208,tt5777312,1000000,179519
209,tt6648696,750000,43660
210,tt5606986,1700000,2228701
211,tt6299366,10000000,1485785
212,tt5792714,1000000,1964
213,tt6545314,660000,2114
214,tt7567288,30000000,26045
215,tt6397530,25000,93039
216,tt5397464,2000000,702
217,tt7370188,4000000,554305
218,tt5917052,4000000,15526
219,tt6373738,4780000,397544
220,tt5493404,250000,33888
221,tt5934126,1500000,163629
222,tt5936484,40000000,2160
223,tt6722654,30000,312
224,tt6750506,7000000,284842
225,tt7093634,14000000,27051
226,tt6890828,57400,123090
227,tt7658600,445000,38871
228,tt4150782,100000,46357
229,tt6513656,45000000,17592626
230,tt6182908,80000000,214040103
231,tt7025976,22100000,7611035
232,tt7339792,6000000,6216897
233,tt4799066,2800000,27365467
234,tt6910020,16000000,36075317
235,tt7448180,3000000,28645
236,tt1799516,6000000,585333
237,tt9141128,55000000,184351
238,tt7126758,27000000,2105743
239,tt5629524,5000000,2305829
240,tt6957966,8000000,1362536
241,tt7125774,10,11859396
242,tt7886614,75000000,20492363
243,tt4595882,10000000,12442161
244,tt5179598,15000000,2713955
245,tt3111516,2000000,353326
246,tt5591666,10600000,59766
247,tt8632862,5000000,6674168
248,tt7008872,11000000,11853081
249,tt5688868,415000,73383
250,tt5688932,3200000,18170707
251,tt4266076,2990000,95208
252,tt7205316,4000000,1136887
253,tt3680820,2000000,1557257
254,tt4602066,14000000,953953
255,tt5610554,13000000,15636462
256,tt7375304,18000000,65208
257,tt6205872,7000000,2584988
258,tt7365604,10000000,6842356
259,tt7738450,191000,456304
260,tt6768578,4000000,5080147
261,tt5696326,24000000,89988
262,tt7208564,1200000,122833
263,tt5467928,115126396,1897
264,tt7139246,10000000,2590197
265,tt6512428,2700000,3589633
266,tt5540992,18000000,182415
267,tt6858020,6000000,3703867
268,tt8515806,5000000,4878325
269,tt3759298,5000000,1557172
270,tt7054868,350000,12564
271,tt3732280,2322000,54850
272,tt6793280,300000,516660
273,tt6708044,3500000,7318071
274,tt7105944,7500000,11740817
275,tt5085522,1000000,385428
276,tt7210426,6400000,8123764
277,tt7485508,700000,342699
278,tt7279188,2500000,4481653
279,tt6347150,1700000,52408
280,tt8574252,6000000000,24343708
281,tt7672068,50000000,40995
282,tt9094112,1000000,50197
283,tt6752848,1500000,1092277
284,tt6932818,6000000,1211394
285,tt7227100,69976709,32352
286,tt8074486,4000000,80749
287,tt5291792,3000000,8472
288,tt5981944,10000000,1576821
289,tt7654872,6300000,3136670
290,tt5878590,26000000,431475
291,tt8564902,6000000,5885881
292,tt7073522,16900000,2481681
293,tt7158686,1700000,1456151
294,tt7913172,100000,53503
295,tt6892446,800000,138535
296,tt6451260,6900000,862888
297,tt7099566,250000,20342
298,tt8007436,1800000,1103585
299,tt6126346,3750000,2174896
300,tt2993848,200000000,4957041
301,tt7098658,300000000,1812763
302,tt7882104,6000000,9786399
303,tt6301452,45000,5535
304,tt6414890,5240000,1184348
305,tt7875464,514000,811196
306,tt6972372,65,4303454
307,tt4454078,5500000,3982
308,tt4261326,1200000,5078
309,tt5475734,8000000,7694425
310,tt5338644,4637933,778142
311,tt4645358,1500000,138868
312,tt7132578,3500000,3934443
313,tt5668822,33000000,72821
314,tt7362036,15000000,451183391
315,tt7195416,2500000,1862432
316,tt7212726,1390000000,51329472
317,tt7241074,4150000,962342
318,tt6995612,20000000,4348198
319,tt3458760,1000000,25015
320,tt4138254,136425999,2217938
321,tt5970844,20000000,39570044
322,tt7765910,100,428762
323,tt9062342,40,1830556
324,tt7730492,2500000,2477497
325,tt6686700,2500000,593078
326,tt5311514,370000000,358922706
327,tt5425264,20000000,3916195
328,tt4777660,3000000,90611
329,tt4246856,650000,68577
330,tt5133308,2000000,3190219
331,tt4937564,2500000,49957
332,tt4327752,10000000,13109
333,tt4776564,22400000,10857
334,tt2782844,11200000,33289
335,tt4680182,15000000,4531320
336,tt5157456,1250000000,29161298
337,tt4629266,10000000,25081168
338,tt4621630,3000000,1143304
339,tt4019560,6000000,269915
340,tt4291600,500000,5401447
341,tt5243900,35000000000,31918573
342,tt4864932,5200000,676602
343,tt3960412,20000000,9680029
344,tt4652532,20000000,3554029
345,tt2170427,3000000,23627
346,tt0787524,10000000,12252684
347,tt5207204,1700000,6457240
348,tt4776998,90000000,12448676
349,tt4303340,1254470,21148
350,tt5344794,5000000,21701
351,tt1663655,1000000,397072
352,tt4871980,5000000,10414738
353,tt3450900,25000000,906995
354,tt3424690,3000000,289299
355,tt1480285,5000000,663460
356,tt5735280,300000,3599
357,tt3253232,3000000,421404
358,tt2990126,3000000,309
359,tt5813916,2000000,11378898
360,tt3723780,12000000,4828042
361,tt4806012,4500000,7179946
362,tt1655461,10000000,247949
363,tt4254584,2000000,150191
364,tt4447108,400000,24083
365,tt4847546,1200000,8708
366,tt4370784,6000000,7400324
367,tt4677578,80000000,453276
368,tt3923662,5000000,30194
369,tt3574822,25000000,1670217
370,tt4919484,2000000,2008649
371,tt6068960,10000000,6960645
372,tt5173166,13000000,9193243
373,tt4714896,12000000,155111
374,tt4795546,5600000,321768
375,tt4558396,4700000,598929
376,tt4626160,600000,207005
377,tt4621872,15000000,9029150
378,tt4975280,710000000,208999
379,tt4240406,80000000,2480082
380,tt4857596,5620000,8405304
381,tt5039860,15000000,5623134
382,tt3410408,300000000,69289
383,tt5089786,2400000,2091517
384,tt5270810,1460000000,3910254
385,tt5471154,275600000,45150390
386,tt3655972,4200000,2090232
387,tt2950418,9000000,2000620
388,tt4699534,2600000,1531866
389,tt4776964,2300000,1065961
390,tt6033150,4000000,11702016
391,tt4746506,5000000,1898410
392,tt4809638,1800000,4243953
393,tt5843056,15000000,5350348
394,tt2718028,2000000,1693944
395,tt4082524,2300000,9536
396,tt3847390,250000,39740
397,tt5896674,1000000,8516
398,tt4616292,5000000,2434473
399,tt3952900,1800000,1331227
400,tt5433520,3000000,2242471
401,tt5460986,1000000,948
402,tt5440700,1000000000,678057
403,tt1401621,500000,4550
404,tt6017536,250000,11308
405,tt4906984,380000000,147521
406,tt4362646,2500000,257095
407,tt4613272,200000,935236
408,tt4428740,7900000,3874946
409,tt5247544,5600000,2918159
410,tt4072326,20000000,50721
411,tt4414438,18000000,7162
412,tt3014556,1000000,128788
413,tt4291700,3530000,6820723
414,tt2248739,1100000,26448
415,tt5129818,390000,305993
416,tt5883632,7000000,8404
417,tt4365518,3850000,414698
418,tt4026570,400000,41913
419,tt6086614,950000,502941
420,tt4811564,1500000,102428
421,tt3300932,1800000,9930
422,tt4528454,1000000,39012
423,tt4687276,1000000,621738
424,tt3103166,3500000,182695
425,tt3489996,2000000,25318
426,tt4634422,1400000,901435
427,tt5211044,1000000,19107
428,tt4682708,400000,8438
429,tt5572720,1000000,7550254
430,tt5599818,500,51505
431,tt5073020,1100000,21135
432,tt5644006,1000000,796804
433,tt3685570,1000000,9034
434,tt5908566,750000,80847
435,tt3975072,55000000,651765
436,tt5545582,250,8930
437,tt3697398,55000,210979
438,tt5229228,4500000,4227648
439,tt2787570,5000000,90456
440,tt4283358,33000000,11426875
441,tt5028822,800000,10844
442,tt3591696,750000,7095
443,tt6070530,1500000,7580125
444,tt3919034,3000000,213835
445,tt6316170,1000000,902012
446,tt5700224,40000,593418
447,tt4399594,9000000,3454709
448,tt4838486,7045000,926
449,tt5088794,1000000,82144
450,tt4675030,30000000,21567
451,tt5354664,175000000,145819137
452,tt3658366,200000,19526
453,tt1726252,4000000,474926
454,tt4538016,20800000,1527
455,tt4121640,1400000,128425
456,tt6054290,8000000,24864375
457,tt6074202,400000000,119107580
458,tt5077886,3628121,672079
459,tt1273219,650000,3558
460,tt6041030,257000,1322500
461,tt4949254,1200000,1475550
462,tt4911876,1500000,23638
463,tt4310356,5000000,5045207
464,tt4463762,1370000,776636
465,tt5471480,1000000,101739
466,tt5775132,400000,178210
467,tt4947738,3200000,222565
468,tt4508542,2500000,250847
469,tt5142216,2000,4300
470,tt4983736,200000000,19873
471,tt4080594,5200000,5701519
472,tt5701172,140000000,261306
473,tt4857878,2000000,327747
474,tt5679536,250000,1441
475,tt5920348,130000000,109818
476,tt3744264,5000000,256229
477,tt5141494,3969844,232289
478,tt5372466,850000000,136623
479,tt5852052,350000,29908
480,tt5234510,2,134672
481,tt6126294,400000000,191459
482,tt5011242,1000000,406960
483,tt6011884,200000000,2632583
484,tt5098128,500000000,1003
485,tt5576174,0,2845124
486,tt5093754,0,6559996
487,tt3505094,85135,2465
488,tt3584954,766000,88401
489,tt2091245,1000000,30213
490,tt5425144,160000000,37749848
491,tt5503266,1960000,23857217
492,tt5568330,2000000,6559
493,tt3503454,2000000,11972
494,tt5131914,75000,228
495,tt5313414,3000000,55621
496,tt4924082,7500000,470903
497,tt2338774,1220000,609
498,tt5210376,450000,144130
499,tt5882398,20000000000,19608000
500,tt4899056,6000000,48870
501,tt4271910,7300000,63970
502,tt5662990,4000000,2035
503,tt3468352,700000,272262
504,tt2215211,1800000,2662
505,tt3425402,60000,164772
506,tt5909128,5000000,1465048
507,tt4866320,1400000,250327
508,tt4335804,2000000,63010
509,tt5356680,500000,1185
510,tt2249039,2500000,56551
511,tt4862468,20000000,53306108
512,tt5756242,100000000,7514
513,tt6141374,1000000,627563
514,tt5195390,17,386997
515,tt4805816,1400000,139896
516,tt5002394,57000,18840
517,tt5886216,350000000,29541
518,tt5030004,1664000,3664336
519,tt4721502,1400000,806540
520,tt5187816,80000000,8980243
521,tt4524676,1500000,2293
522,tt3577616,747500,4234
523,tt3296248,130000,3239
524,tt5953804,52000000,639052
525,tt6229786,900000,2532773
526,tt5465374,80000000,52787
527,tt5100046,0,15590
528,tt5551590,1200000,87618
529,tt4125568,1000000,1055809
530,tt6141468,1700000,98890
531,tt5641300,20000000,1135
532,tt4675926,3200000,246799
533,tt5565818,50000000,424961
534,tt6287174,3560000,18292
535,tt4567500,700000,243897
536,tt4176928,2500000,96169
537,tt6153126,250000,16932
538,tt5495258,250000000,11794
539,tt4747848,810580,63258
540,tt5072350,630000,181686
541,tt5786632,600000,12388
542,tt5933966,500000,46850
543,tt3477172,750000,42173
544,tt6040012,760000000,1798
545,tt6047120,4000000,199935
546,tt4606770,672446,34033
547,tt5914618,12000000,1151187
548,tt3806596,16400000,52064
549,tt5434374,2360000,774653
550,tt5304086,300000000,104734
551,tt4212552,6000000,75568
552,tt4905556,182000,49853
553,tt4947672,2400000,157683
554,tt5916712,400000,369
555,tt6079360,8000000,6892
556,tt6176162,8500000,46149
557,tt4350998,1000000,34785
558,tt4997196,600000,130520
559,tt5376720,217500,7527
560,tt5565670,50000000,504002
561,tt5190872,9500000,12369340
562,tt5569468,5000000,690925
563,tt4993990,4000000,15462
564,tt5211710,4200000,32659
565,tt5463412,1500000,42992
566,tt6115284,4000000,1284
567,tt5446460,10000000000,294953
568,tt3810602,70000,7366
569,tt5112054,1340000,629439
570,tt5618870,100000000,16748620
571,tt6079160,200000,145730
572,tt1890363,20000000,59679
573,tt5347158,500000,29500
574,tt5328784,100000000,7279
575,tt3806654,1000000,20584
576,tt5595240,60000000,296715
577,tt3185650,1000000,29495
578,tt5929890,1400000,432288
579,tt5262450,1412000,3429915
580,tt5650098,800000,51719
581,tt4432364,10,64105
582,tt5821968,4000000,232183
583,tt5851492,3000000,15496
584,tt3876860,350000000,5208
585,tt5483634,2000000,257650
586,tt4636252,1300000,1052730
587,tt3263192,574000,1267
588,tt5313980,100000000,9995
589,tt2207112,2900000,70525
590,tt4123876,580000,8972
591,tt6892250,2000000,1905999
592,tt5537614,120000,137035
593,tt4302788,3800000,25928
594,tt5074552,80000000,17489
595,tt5154162,250000,56364
596,tt3990782,500000,27836
597,tt3411076,35000000,94950
598,tt5746140,500000,15946
599,tt6003734,3000000,705
600,tt5611958,200000,12799
601,tt6001712,1100000,19640
602,tt4616572,650000,13260
603,tt5439426,100000,46213
604,tt6419748,1500000,1686
605,tt5270366,40000000,23162
606,tt3504836,600000,3845
607,tt5829116,5000000,39493
608,tt4795124,10000000,62547032
609,tt5462326,7000000,165962
610,tt2720826,31000000,7215027
611,tt4131800,6500000,60330833
612,tt5804314,3000000,7241302
613,tt5456104,5000000,933954
614,tt6113488,5000000,18175663
615,tt4663548,2000000,5942565
616,tt5816682,21000000,66558465
617,tt4729896,500000,434336
618,tt4155534,19500000,10952433
619,tt3531202,4749500,23689
620,tt2531334,5000000,94178
621,tt4846232,4500000,3283369
622,tt6194530,2800000,497676
623,tt4703182,1000000,5199
624,tt6045466,4000000,5381950
625,tt7241654,5000000,5124
626,tt6101820,4000000,33262366
627,tt6515342,14800000,5394474
628,tt5294198,350000,2666
629,tt5649108,6000000,3187255
630,tt6404816,24987000,1450201
631,tt3481634,10000000,259635
632,tt3469798,4000000,297682
633,tt6060156,3550000,7158925
634,tt6763252,5800000,1196669
635,tt1934452,2000000,22443
636,tt1230168,15000000,6423605
637,tt6713562,1500000,3012
638,tt3721954,4993020,9733932
639,tt6759686,600000,5519
640,tt3778010,24000000,21675
641,tt4126568,650000,836413
642,tt5222918,1600000,4282973
643,tt4778988,26000000,2510151
644,tt6346162,2000000,2827489
645,tt5657028,7546570,29370592
646,tt5154288,80000,103885
647,tt6857250,90000000,77151096
648,tt4728386,1300000,80051
649,tt5281700,6000000,46180
650,tt6155194,1500000,290064
651,tt1935089,2500000,98280
652,tt6106526,6000000,7976551
653,tt4823434,26040000,576598
654,tt5655222,1200000,4101699
655,tt5265948,2000000,134126
656,tt5804948,17214408,9548364
657,tt6170954,290000000,55429
658,tt5987402,7500000,59884997
659,tt6462462,9729038,10968212
660,tt6974196,1000000,579830
661,tt6433624,2200000,979703
662,tt5693136,3500000,860750
663,tt6089700,800000,109227
664,tt6081632,11000000,7034772
665,tt4711924,1000000,423981
666,tt5345806,25000000,1149667
667,tt5041296,5000000,1346352
668,tt5247704,7870000,11625884
669,tt6423776,2978000,4192590
670,tt6569546,162000000,782438
671,tt6332764,1100000,20418
672,tt8045170,7,103775
673,tt6469892,18000000,1080895
674,tt7147540,6250000,14751915
675,tt4702346,2000000,7457
676,tt2179231,1500000,19996
677,tt7602430,400000,19743
678,tt5509412,600000,1869
679,tt7169514,6900000,4943572
680,tt5207158,360000,2365712
681,tt5553962,437000,5642
682,tt8961266,2000000,430393
683,tt6532192,3725000,381668
684,tt6849128,15000000,24844
685,tt7690638,200000000,6579645
686,tt4823538,47900000,11021794
687,tt8529186,150000000,366961907
688,tt3893664,150000,31031
689,tt4631048,200000,5010
690,tt8580240,1000000,7850
691,tt5932330,60000,7072
692,tt7717440,230000000,392295
693,tt6818140,7000000,8292310
694,tt8320378,618086,623263
695,tt5791098,2700000,1548893
696,tt6993174,180,19396
697,tt8377572,2300000,915126
698,tt6593240,600,111197
699,tt7769530,6600000,4531635
700,tt4876524,20000000,1398352
701,tt7217128,4357442,1698442
702,tt8394526,340000,26130
703,tt7581572,200000,809541
704,tt6072502,3000000,64760
705,tt3295734,250000,11201
706,tt7533756,45500000,4957487
707,tt6207634,900,9912
708,tt7407496,1200000,14905
709,tt8821182,3000000,11232
710,tt2482856,1000000,772000
711,tt6423998,150000,33901
712,tt7947470,21700000,48537
713,tt7023236,1600000,20889
714,tt6871634,90000000,6061514
715,tt7216256,2500000,1151580
716,tt7676066,0,2985
717,tt4949112,1000000,75507
718,tt6400280,500000,38399
719,tt7926840,30000000,3004952
720,tt8443556,20000000,26796279
721,tt7128066,800000,20270
722,tt6083534,300000,4988
723,tt7963848,19200000,703734
724,tt9070934,70000000,29973
725,tt8829850,280000,67415
726,tt6051312,140000,9470
727,tt7906422,40000000,394887
728,tt7050476,50000000,4562667
729,tt5225428,300000,2238
730,tt7589670,10500000,24740
731,tt7358598,3000000,747236
732,tt7091504,1300000,478957
733,tt9270416,100000000,32011
734,tt8406750,1800000,31086
735,tt7531990,600,947929
736,tt3653132,500000,4767
737,tt8297816,806000,5568
738,tt6516734,8000000,2627805
739,tt6712374,15000000,1929069
740,tt5572856,500000,4942
741,tt7711342,894000000,182751
742,tt7345930,60000000,2735
743,tt8837018,1000000,12135
744,tt0493406,2800000,9891729
745,tt8094308,720000,6302
746,tt8071308,50000000,9626679
747,tt5271794,3000000,79711
748,tt2050452,1000000,213256
749,tt6283474,1791000,636170
750,tt6415214,8025000,53901
751,tt5178964,2000000,69290
752,tt5335244,400000,20062
753,tt7413472,22100000,95948
754,tt8493514,2,4394284
755,tt4039842,500000,20052
756,tt6610280,500000,296755
757,tt7329602,100000000,232835
758,tt3907284,3610000,954696
759,tt8244298,54000000,39891
760,tt6404166,300000,2202
761,tt6755366,230000000,264307
762,tt8814620,500000,90168
763,tt8655618,38000000,31285
764,tt6202690,480000,1203
765,tt7304194,30000,5065
766,tt7027278,350000000,13999297
767,tt2534642,3000000,16576
768,tt7903634,1000000,181172
769,tt8027180,300000,11388
770,tt7915806,30000,11496
771,tt3674018,2000000,51703
